WORD,MEANING,PART OF SPEECH
barrowlee,᛫ a Puma concolor animal ᛫ a cougar ᛫ a puma ᛫ a mountain lion ᛫ a catamount ᛫ a panther ᛫,N
barrowmouse,᛫ a marmot ᛫,N
barrowroose,᛫ a rhododendron ᛫,N
barton,᛫ a farmyard ᛫,N
Baskon,᛫ a Basque person ᛫,N(P)
Baskonland,᛫ Basque Country ᛫,N(P)
bass,᛫ a perch fish ᛫,N
bast,᛫ phloem ᛫ bast fiber ᛫ fiber ᛫ fibre ᛫,N
bat,᛫ a mace ᛫ a club ᛫ a cudgel ᛫ a bludgeon ᛫,N
batch,᛫ a group of like things ( esp baked goods ) ᛭ to group like things ᛫ to sort ᛫,N᛭V
batch,᛫ a stream ? ᛫ a brook ? ᛫ a valley ? ᛫,N
bate,᛫ to get better ᛫ to recover ᛫,V
baxter,᛫ a baker ᛫,N
Bayer,᛫ a Bavarian ᛫,N(P)
Bayerland,᛫ Bavaria ᛫,N(P)
baze,᛫ crimson ᛫ scarlet ᛫ a monarchist ᛭ of crimson hue ᛫ of scarlet hue ᛫,N᛭AJ
bazestone,᛫ topaz ᛫,N
be,᛫ to exist ᛫,V
beacon,᛫ a signal ᛫ an indication ᛭ to signal ᛫ to indicate ᛫,N᛭V
beaconer,᛫ a signaller ᛫ an indicator ᛫,N
bead,᛫ a prayer ᛫ a request ᛫,N
beadframe,᛫ an abacus ᛫,N
beadful,᛫ prayerful ᛫,AJ
beadle,᛫ prayerful ᛫ suppliant ᛫,AJ
beam,᛫ a long straight piece of timber ᛫ a tree ᛫ a ray ( of light etc ) ᛫,N
beamish,᛫ beaming with happy optimism ᛫,AJ
bean curd,᛫ tofu ᛫,N
bear,᛫ to carry ᛫ to endure ᛫ to give birth to ᛫,V
bearcat,᛫ a binturong ᛫,N
beardtongue,᛫ a Penstemon plant ᛫,N
bearen,᛫ a she-bear ᛫,N
bearer,᛫ a carrier ᛫ a bearer ᛫ a porter ᛫,N
bearing,᛫ relevance ᛫ posture ᛫ demeanour ᛫,N
bearings,᛫ a direction or a relative position ᛫,N
bearly,᛫ ursine ᛫,AJ
bearsear,᛫ a Primula auricula plant ( auricula ) ᛫,N
bearwort,᛫ a Meum athamanticum plant ( spignel ; meum ; baldmoney ) ᛫,N
beat,᛫ rhythm ᛫ a unit of rhythm ᛫,N
beat,᛫ to curb ᛫ to rein in ᛫ to restrain ᛫ to keep in check ᛫,V
beath,᛫ to foment ᛫ to heat ( esp unseasoned wood in order to straighten it ) ᛫,V
beaver moon,᛫ a full moon in November ᛫,N
bebathe,᛫ to suffuse ᛫,V
bebid,᛫ to command ᛫,V
becall,᛫ to accuse ᛫,V
beck,᛫ a commanding or summoning motion ᛫,N
beck,᛫ a brook ᛫ a small stream ᛫ a rivulet ᛫,N
beckon,᛫ to invite ᛫ to invite over ᛫ to summon ᛫ to gesture someone for their presence ᛫,V
beckoningly,᛫ indicative ( grammar ) ᛫,AJ
beclepe,᛫ to accuse ᛫ to charge against ᛫ to plead or appeal in court ᛫ to apply a term to ᛫,V
beclip,᛫ to surround ᛫ to encircle ᛫ to embrace ᛫ to clasp ᛫ to enclose ᛫ to contain ᛫ to envelope ᛫,V
becloud,᛫ to make obscure or muddled ᛫,V
becoming,᛫ looking good on someone ᛫ decorous ᛫ appropriate ᛫,AJ
bedder,᛫ a bed fellow ᛫,N
bedeal,᛫ to remove from ᛫ to release from ᛫ to deprive of ᛫,V
bedelve,᛫ to inter ᛫,V
bedesman,᛫ one who prays for another ᛫ a petitioner ᛫,N
bedfellow,᛫ a consort ᛫,N
bedight,᛫ to equip ᛫,V
bedip,᛫ to submerge ᛫,V
bedizen,᛫ to dress ( often in a vulgar or gaudy way ) [ᛏ] ᛫,V
bedoven,᛫ drenched ᛫ submerged ᛫,AJ
bedrock,᛫ a substratum ᛫,N
beds,᛫ hopscotch ᛫,N
bedsit,᛫ a one-room apartment serving as both bedroom and living room ᛫,N
bedwell,᛫ to dwell in ᛫ to inhabit ᛫,V
bee,᛫ a bracelet ᛫ a torque ᛫ an arm ring ᛫ an armlet ᛫ a finger ring ᛫ a collar ᛫ a necklace ᛫ a nose ring ᛫,N
bee,᛫ a social event ᛫ a gathering for a common purpose ᛫,N
beebread,᛫ pollen ᛫ ambrosia ᛫,N
beechurl,᛫ a beekeeper of the churl class ᛫,N
beechwheat,᛫ buckwheat ᛫,N
beed,᛫ a table ᛫,N
beedland,᛫ a tableland ᛫ a plateau ᛫,N
beehouse,᛫ an apiary ᛫,N
beek,᛫ to charter ᛫ to grant by book or by charter ᛫,V
beekeeper,᛫ an apiarist ᛫,N
beely,᛫ apian ᛫,AJ
beem,᛫ a trumpet ᛭ to sound with a trumpet ᛫,N᛭V
beemwood,᛫ a Cecropia peltata plant ( a trumpet-tree ; a trumpet-bush ; a bacano ; a snakewood ) ᛫,N
beerlore,᛫ brewology ᛫,N
beership,᛫ a banquet with beer ᛫ convivium ᛫,N
beestings,᛫ a colostrum ( esp of a cow ) ᛫,N
beet,᛫ a boast threat or pledge to do a glorious deed ᛫,N
beet,᛫ to repair ᛫ to mend ᛫ to revive ᛫ to restore ᛫ to fix ᛫ to correct ᛫ to amend ᛫,V
beetle,᛫ to project ᛫ to overhang ᛫,V
beetle,᛫ a mallet ᛫ mallet carried on a plow for breaking large clods ᛫ a mace ᛫,N
befall,᛫ to happen ᛫ to happen to someone ᛫,V
befalling,᛫ a happening ᛫ an occurrence ᛫ an event ᛫ an instance of something ᛫,N
befasten,᛫ to fasten ᛫ to entrust ᛫,V
befile,᛫ to defile ᛫ to vandalize ᛫ to deflower ᛫,V
befoe,᛫ to become a foe of ᛫ to make a foe of someone ᛫,V
beforehand,᛫ in advance ᛫,AV
befoul,᛫ to make foul or dirty ᛫ to pollute ᛫,V
begale,᛫ to enchant ᛫ to charm ᛫,V
begang,᛫ a course ᛫ a passage ᛭ to commit ᛫ to practise a behaviour ᛫,N᛭V
beget,᛫ to produce ᛫ to create ᛫ to cause ᛫ to sire ᛫ to generate ᛫ to engender ᛫ to conceive ᛫,V
beget,᛫ to beget ᛫,V
begetter,᛫ a procreator ᛫,N
begetting,᛫ conception ᛫,N
beghast,᛫ to inspire ᛫ to amaze ᛫ to shock ᛫ to awe ᛫,V
bego,᛫ to cover ᛫ to ornament ᛫ to overtake ᛫,V
begod,᛫ to deify ᛫,V
begone,᛫ avaunt! ᛫,I
begreed,᛫ to blame ᛫ to charge ( with a crime ) ᛫ to accuse ( of a crime ) ᛫,V
begripe,᛫ to grip ᛫ to seize ᛫ to rebuke ᛫ to reprehend ᛫,V
begriprown,᛫ a logographic rune ᛫,N
behalf,᛫ the interests of a person group or principle ᛫ a representative of ᛫ one's stead ᛫,N
behaving,᛫ behavior ᛫ behaviour ᛫,N
behead,᛫ to decapitate ᛫,V
beheart,᛫ to enamour ᛫ ravish ᛫,V
Beheem,᛫ a Bohemian ᛫,N(P)
Beheemland,᛫ Bohemia ᛫,N(P)
beheeve,᛫ beneficial ᛫,AJ
behest,᛫ an order ᛫ a command ᛫,N
behight,᛫ to vow ᛫ to promise ᛫,V
behirn,᛫ to put in a corner ᛫ to store away ᛫,V
behither,᛫ on this side of ᛫,P
behold,᛫ to see ( something ) ᛫ to observe ᛫,V
beholden,᛫ owing obedience or a favour to something or someone ᛫,AJ
beholder,᛫ an observer ᛫,N
behoof,᛫ advantage ᛫ benefit ᛫,N
behoove,᛫ to benefit [ᛏ] ᛫ to suit [ᛏ] ᛫ to be proper for [ᛏ] ᛫,V
behooveful,᛫ expedient ᛫ beneficial ᛫ advantageous ᛫ profitable ᛫ suitable ᛫ proper ᛫ requisite ᛫,AJ
behoovely,᛫ expedient ᛫ beneficial ᛫ advantageous ᛫ profitable ᛫ suitable ᛫ proper ᛫ requisite ᛭ advantageously ᛫profitably ᛫,AJ᛭AV
behote,᛫ a promise ᛫ a pledge ᛭ to promise ᛫ to pledge ᛫,N᛭V
being,᛫ existence ᛫ the nature of a being ᛫ an existing thing ᛫ essential nature ᛫ essence ᛫,N
beingless,᛫ non-existent ᛫,AJ
beknow,᛫ to know ᛫ to realize ᛫ to recognize ᛫ to acknowledge something as true ᛫,V
belap,᛫ to surround ᛫ to envelop ᛫,V
belatch,᛫ to catch ( like in a trap ) ᛫,V
belate,᛫ to retard ᛫ to slow ᛫ to slow down ᛫,V
belated,᛫ late ᛫ overdue ᛫,AJ
belay,᛫ to stop ᛫ to cancel (nautical) ᛫,V
belew,᛫ to betray ᛫,V
Belgia,᛫ Belgium ᛫,N(P)
belide,᛫ to cover ᛫,V
belie,᛫ to misrepresent ᛫ to give a false impression of ᛫,V
belight,᛫ to illuminate ᛫,V
belirt,᛫ to deceive ᛫ to beguile ᛫ to delude ᛫ to defraud ᛫ to cozen ᛫,V
belittle,᛫ to denigrate ᛫ to disparage ᛫,V
belive,᛫ to stay ᛫ to remain ᛫,V
bell,᛫ a bellow ᛭ to bellow ( generally used for stag during rutting time ) ᛫,N᛭V
bellglass,᛫ a cloche ᛫,N
bellhouse,᛫ a belfry ᛫,N
bellyache,᛫ to grumble ᛫,V
beload,᛫ to exculpate ᛫ to absolve ᛫ to acquit ᛫ to pardon ᛫,V
beltsaw,᛫ a bandsaw ᛫,N
bemean,᛫ to demean ᛫ to debase ᛫ to degrade ᛫,V
bemete,᛫ to compare ᛫,V
bemiddle,᛫ to mediate ᛫,V
bemiddling,᛫ mediation ᛫,N
bemoan,᛫ to complain ᛫ to complain about ᛫,V
ben,᛫ an injury ᛭ to injure ᛫,N᛭V
benchmark,᛫ a standard ( something others are compared to ) ᛫,N
bend,᛫ a bond ᛫ a band ᛫ a binding commitment ᛫ an obligation ᛫,N
bendsome,᛫ flexible ᛫ pliable ᛫,AJ
bene,᛫ a request to a god ᛫ an entreaty to a god ᛫ a prayer ᛫,N
benetide,᛫ prayer time ᛫,N
benim,᛫ to deprive ᛫,V
benorth,᛫ north of ᛫,P
benote,᛫ to use ᛫ to consume ᛫,V
bent,᛫ an inclination ᛭ sharply curved ᛫ dishonest ᛫ corrupt ᛫,N᛭AJ
Benthamish,᛫ of or pertaining to the utilitarianist doctrines of Jeremy Bentham ᛫,AJ(P)
Bentleyish,᛫ of or relating to American political scientist and philosopher Arthur Fisher Bentley ᛫,AJ(P)
bentmoon,᛫ a crescent moon ᛫,N
benumb,᛫ to deprive of physical or emotional feeling ᛫,V
bequeath,᛫ to give ( esp through a will ) ᛫,V
bequest,᛫ the act of giving through inheritance ᛫ a legacy ᛫ an inheritance ᛫,N
bere,᛫ barley ᛫,N
bere,᛫ -bearing ᛫,SUFFIX
bereave,᛫ to deprive ᛫,V
beright,᛫ to entitle ᛫,V
berise,᛫ to befit ᛫,V
berman,᛫ a porter ᛫ a waiter ᛫,N
bern,᛫ a man ᛫ a soldier ᛫,N
bernet,᛫ arson ᛫,N
berth,᛫ a position ( as in a rank job or role in a group esp in regards to ships ) ᛫,N
berue,᛫ to repent ᛫ to regret ᛫ to feel remorse ᛫,V
berun,᛫ to incur ᛫,V
beruse,᛫ to repent ᛫ to feel remorse ᛫,V
berusing,᛫ repentance ᛫ penitence ᛫,N
berusingtide,᛫ a season for penitence ᛫,N
besee,᛫ to attend to ᛫ to look after ᛫ to provide for ᛫ to furnish ᛫,V
beseech,᛫ to implore ᛫ to plead ᛫,V
beseecher,᛫ a petitioner ᛫ a supplicant ᛫ a suppliant ᛫ a suitor ᛫ a solicitor ᛫ a postulant ᛫,N
beseem,᛫ to be suitable for ᛫,V
beset,᛫ to surround ᛫ to hem in ᛫ to trouble persistently ᛫ to be covered or studded with ᛫ to assail on all sides᛫ to besiege ᛫ to siege ᛫,V
beshine,᛫ to illuminate ᛫ to enlighten ᛫ to dispel ignorance ᛫,V
beshrew,᛫ to curse ( to invoke evil upon ) ᛫,V
besight,᛫ a legal provision ᛫ a legal disposition ᛫,N
besing,᛫ to sing about ᛫ to celebrate in song ᛫ to enchant ᛫,V
besit,᛫ to sit around something ᛫ to besiege ᛫,V
besmite,᛫ to strike forcefully ᛫ to hit forcefully ᛫ to infatuate ᛫ to enamour ᛫ to charm ᛫ to fascinate ᛫,V
besmitten,᛫ afflicted or troubled by something ᛫ infatuated ᛫ enamoured ᛫ charmed ᛫ fascinated ᛫,AJ
besom,᛫ a broom ( esp one made of twigs tied to a handle ) ᛫ a bundle of rods or twigs used for flogging ᛫,N
besouth,᛫ south of ᛫,P
bespeak,᛫ to decide upon something in conference ᛫ to plan ᛫ to order or reserve something in advance ᛫ to customize[ᚹ] ᛫,V
bespoke,᛫ custom ( as in customized ) ᛫ tailor-made ᛫,AJ
bestead,᛫ situated ᛫,AJ
bestir,᛫ to put into brisk or vigorous action ᛫ to move with life and vigour ᛫ to make active ᛫ to rouse oneself ᛫,V
bestow,᛫ to endow ᛫,V
bestrew,᛫ to cover with scattered objects ᛫,V
bestride,᛫ to straddle ᛫ to dominate ᛫,V
beswathe,᛫ to cover ( literally or figuratively ) ᛫,V
beswink,᛫ to produce or acquire through labour ᛫,V
betake,᛫ to grant ᛫ to give a daughter in marriage ᛫ to entrust ᛫ to put in charge ᛫,V
beteach,᛫ to hand over ᛫ to commit ( like to an asylum ) ᛫ to deliver ᛫ to entrust ᛫,V
betee,᛫ to devote ᛫ to spend ᛫,V
beteem,᛫ to allow ᛫ to permit ᛫ to vouchsafe ᛫,V
beteld,᛫ to cover ᛫ to surround ᛫,V
bethatch,᛫ to bedeck ᛫,V
bethew,᛫ to enthral ᛫ to enthrall ᛫ to enslave ᛫ to inslave ᛫,V
bethink,᛫ to reflect ᛫ to meditate ᛫ to ponder ᛫ to meditate on [ᛏ] ᛫ to think about [ᛏ] ᛫ to devise ᛫ to plan ᛫ tocontrive ᛫,V
bethought,᛫ thought out ᛫ planned ᛫ premeditated ᛫,AJ
bethrall,᛫ to enthral ᛫ to enthrall ᛫,V
bethring,᛫ to throng around ᛫ to press around ᛫,V
bethwack,᛫ to thwack thoroughly ᛫,V
betide,᛫ to happen ᛫ to happen to someone ᛫,V
betightle,᛫ to accuse ᛫ to charge with a crime ᛫,V
betimes,᛫ on time ᛫ promptly ᛫ early ᛫ in due time ᛫,AV
betly,᛫ excellent ᛫,AJ
betoken,᛫ to indicate ᛫ to signify ᛫ to portend ᛫,V
betroth,᛫ to engage ( to be married ) ᛫ to affiance ᛫,V
betrothed,᛫ a fiancé / a fiancée ᛭ engaged ( to be married ) ᛫ affianced ᛫,N᛭AJ
betrothing,᛫ an engagement ( to being married ) ᛫ an affiancing ᛫ a betrothal ᛫,N
better,᛫ a superior ᛭ to improve ᛫ to make better ᛫ to overcome ᛫ to defeat ᛭ superior ᛫,N᛭V᛭AJ
betterhood,᛫ superiority ᛫,N
between,᛫ inter- ᛫,PREFIX
betwixt,᛫ between ᛫,AV&amp;P
betwixtblin,᛫ an intermission ᛫,N
betwixtfack,᛫ an interval ᛫,N
betwixtsend,᛫ to intermit ᛫,V
betwixtset,᛫ interposed ᛫,AJ
betwixtwarp,᛫ an interjection ( grammatical term ) ᛭ to interject ᛫,N᛭V
bever,᛫ to tremble ᛫ to shake ᛫ to quiver ᛫ to shiver ᛫,V
bevering,᛫ trembling ᛫ vibrato [ᚹ] ᛫,N
bewean,᛫ to entertain ᛫,V
beweave,᛫ to wrap up ᛫ to envelop ᛫ to clothe ᛫ to entwine ᛫,V
beweep,᛫ to lament ᛫,V
bewest,᛫ west of ᛫,P
bewilder,᛫ to confuse ᛫ to befuddle ᛫ to disorientate ᛫,V
bewitch,᛫ to cast a spell on ᛫ to enchant and delight ᛫,V
bewray,᛫ to disclose reveal or divulge a secret ᛫ to expose or rat out someone ᛫ to betray ᛫,V
bewrayer,᛫ a betrayer ᛫ a divulger ᛫,N
bewrite,᛫ to write about ᛫,V
bid,᛫ to pray ᛫ to entreat ᛫ to request ᛫ to invite ᛫,V
bid,᛫ to command ᛫ to order ᛫ to demand ᛫ to offer ᛫,V
bid,᛫ to make an offer at an auction ᛫,V
bidden,᛫ a barrel ᛫ a tub ᛫,N
bidding,᛫ an order ᛫ a command ᛫ a commandment ᛫ an auction ᛫,N
biddingly,᛫ imperative ( grammar ) ᛫,AJ
biddle,᛫ an announcer ᛫ a warrant officer ᛫ a constable ᛫ a bailiff ᛫ a beadle ᛫,N
bide,᛫ to wait ᛫ to stay ᛫ to remain ᛫,V
bidhouse,᛫ a chapel ᛫ an oratory ᛫,N
bidword,᛫ a motto ᛫,N
Big Dipper,᛫ a bright circumpolar asterism of the northern sky which is part of Ursa Major ᛫,N(P)
biggen,᛫ to enlarge ᛫,V
bight,᛫ a curve ᛫ a bend ᛫ a corner ᛫ a bay ᛫,N
bigwheel,᛫ a ferris wheel ᛫,N
bile,᛫ an ulcer ᛫ a carbuncle ᛫ a boil ᛫ a pimple ᛫ a blister ᛫ a callus ᛫,N
bilk,᛫ a cheater ᛫ a hoax ᛭ to cheat ᛫ to defraud ᛫ to deceive ᛫ to craft a hoax ᛫,V
bill,᛫ a hooked polearm ᛫ a halberd ᛫ a gisarme ᛫ a falcastrum ᛫ a mattock ᛫ a pickaxe ᛫ a pickax ᛫,N
billwhite,᛫ simple ᛫ innocent ᛫,AJ
billwhitely,᛫ simply ᛫ sincerely ᛫ honestly ᛫,AV
bin,᛫ during ᛫ inside ᛫ within ᛫,P
bind,᛫ a restraint ᛫ a predicament ᛭ to restrain ᛫ to connect ᛫,N᛭V
binder,᛫ a determiner ( grammatical term ) ᛫,N
bindlestiff,᛫ a hobo ᛫ a tramp ᛫,N
bindstaff,᛫ a ligature ( writing ) ᛫,N
bindword,᛫ a compound word ᛫,N
bir,᛫ to behoove ᛫ ought to ᛫ should ᛫ must ᛫ to deserve to ᛫ to be fitting ᛫ to be likely to ᛫,V
bird,᛫ birth ᛫,N
birdhouse,᛫ a small house built for nesting birds ᛫ an aviary ᛫,N
birdlime,᛫ an adhesive substance used to trap birds ᛫,N
birdling,᛫ turtle ᛫ tortoise ᛫,N
birdlore,᛫ ornithology ᛫,N
birdly,᛫ avian ᛫,AJ
birdspider,᛫ any tarantula capable of preying on small birds ᛫ a tarantula ( spider in the Theraphosidae family ) [ᚹ] ᛫,N
bire,᛫ an opportunity ᛫,N
birl,᛫ to spin ᛫ to whirl ᛫ to twirl ᛫,V
birl,᛫ to carouse ᛫,V
birler,᛫ a butler ᛫ a cupbearer ᛫,N
birr,᛫ energy ᛫ an impetus ᛫ a force ᛫ a strong wind ᛫,N
birthfather,᛫ one's biological father ᛫,N
birthleech,᛫ an obstetrician ᛫,N
birthmother,᛫ one's biological mother ᛫,N
birthroot,᛫ a Trillium plant ᛫,N
birthstead,᛫ a birthplace ᛫,N
bisen,᛫ a model ᛫ an example to follow ᛭ to symbolize ᛫ to betoken ᛫,N᛭V
bishopdom,᛫ episcopacy ᛫ episcopate ᛫ prelacy ᛫ prelature ᛫,N
bishoply,᛫ episcopal ᛫,N
bishopric,᛫ a diocese ᛫,N
bishoprich,᛫ a bishopric ᛫,N
bishopswort,᛫ a Stachys officinalis plant ( wood betony ) ᛫,N
bist,᛫ are ( only for second person singular ) ᛫,V
bitter,᛫ resentful ᛫,AJ
bitterness,᛫ resentment ᛫,N
bittock,᛫ a small bit ᛫,N
bive,᛫ to tremble ᛫,V
black,᛫ an anarchist [ᚹ] ᛭ anarchistic [ᚹ] ᛫,N᛭AJ
black gold,᛫ raw petroleum ᛫ crude oil ᛫,N
black horehound,᛫ a Ballota nigra plant ᛫,N
black nightshade,᛫ a Solanum nigrum plant ᛫ a Solanum americanum plant ᛫ a Solanum ptychanthum plant ᛫,N
Black Sheep Turkmen,᛫ Qara Qoyunlu / Kara Koyunlu ᛫,N(P)
blacklead,᛫ graphite ᛫,N
blacksmith,᛫ a worker in black metals ᛫,N
blackthorn,᛫ a Prunus spinosa plant ᛫,N
blackwort,᛫ a Symphytum officinale plant ( comfrey ) ᛫,N
bladderwort,᛫ an Utricularia plant ᛫,N
blain,᛫ an inflamed swelling or sore on the skin ᛫,N
blake,᛫ to pale [ᚾ] ᛭ pale ᛫ pallid ᛫ wan ᛫ withered yellow ᛫,V᛭AJ
blank,᛫ a horse ( originally a white one ) ᛫,N
blast,᛫ an explosion ᛭ to explode ᛫,N᛭V
blastle,᛫ explosive material ᛫ a bomb ᛫,N
blatant,᛫ obvious ᛫,AJ
blate,᛫ bashful ᛫ shy ᛫ sheepish ᛫,AJ
blaze,᛫ a great fire ᛭ to burn fiercely ᛫,N᛭V
bleach,᛫ to make lighter in hue ᛭ pale ᛫ bleak ᛫,V᛭AJ
blead,᛫ fruit ᛫ vegetables ᛫ produce ᛫ vegetation ᛫ crops ᛫,N
bleak,᛫ pale ᛫ wan ᛫ pallid ᛫ desolate ᛫ miserable ᛫ depressing ᛫ uncheery ᛫,AJ
bleat,᛫ a cry from a sheep goat or calf ᛫,V
bleck,᛫ ink ᛫,N
bleckern,᛫ an inkstand ᛫,N
bleckfish,᛫ a cephalopod ᛫,N
bleckhorn,᛫ an inkhorn ᛫,N
blee,᛫ colouration ᛫ colour ᛫ skin colour ᛫ complexion ᛫,N
bleefaw,᛫ versicolour ᛫ particoloured ᛫ multicoloured ᛫ polychromatic ᛫,AJ
bleered,᛫ of myrtle hue ( chestnut brown ) ᛫,AJ
bleeth,᛫ timid ᛫ apprehensive ᛫,AJ
blench,᛫ a trick ᛫ a ruse ᛫ cheating ᛭ to trick ᛫ to cheat ᛫ to elude ᛫,N᛭V
blend,᛫ a mix ᛫ a composite ᛭ to mix ᛫ to composite ᛫,N᛭V
bless,᛫ to sanctify ᛫ to give divine aid ᛫,V
blessing,᛫ divine aid ᛫ a beneficial thing ᛫ one's sanction ᛫,N
blike,᛫ to shine ᛫ to gleam ᛫ to twinkle ᛫ to glitter ᛫ to dazzle ᛫ to sparkle ᛫,V
bliket,᛫ a coruscation ᛫ a sparkle ᛫ a twinkle ᛫,N
blin,᛫ cessation ᛭ to cease ᛫ to desist ᛫,N᛭V
blindgut,᛫ a caecum / a cecum ᛫,N
bliss,᛫ great happiness ᛫ great joy ᛫,N
blissen,᛫ to make blissful or happy ᛫ fill with or impart bliss to ᛫,V
blissful,᛫ extremely happy ᛫ extremely joyful ᛫,AJ
blissome,᛫ joyous ᛫,AJ
blithe,᛫ joyful ᛫ cheerful ᛫ carefree ᛫ concernless ᛫ indifferent ᛫ heedless ᛫,AJ
blithely,᛫ carelessly ᛫ indifferently ᛫ gladly ᛫ joyfully ᛫,AV
blithen,᛫ to make or become blithe ᛫,V
blitheness,᛫ joy ᛫,N
blither,᛫ to talk foolishly ᛫ blather ᛫,V
blithering,᛫ foolish talk ᛭ talking incoherently ᛫ jabbering ᛫,N᛭AJ
blithesome,᛫ having a cheerful or careless disposition ᛫,AJ
blive,᛫ actively ᛫ vigorously ᛫ copiously ᛫ rapidly ᛫ without delay ᛫ promptly ᛫ immediately ᛫ all at once ᛫suddenly ᛫ as soon as possible ᛫,AD
bloak,᛫ pale ᛫ wan ᛫ pallid ᛫,AJ
bloakern,᛫ a light place ᛫ a lamp ᛫ a lantern ᛫,N
bloat,᛫ livid ᛫ pale ᛫ ghastly ᛫,AJ
blood attering,᛫ blood poisoning ᛫ septicemia ᛫ toxemia ᛫,N
blood moon,᛫ a full moon that coincides with a full lunar eclipse and that has an unusually reddish appearance ᛫,N
blood thinner,᛫ an anticoagulant ᛫,N
bloodbath,᛫ a massacre ᛫,N
bloodberry,᛫ a Rivina humilis plant ᛫ pigeonberry ᛫ rougeplant ᛫ coralito ᛫,N
bloodfear,᛫ hemophobia ᛫,N
bloodleech,᛫ a haematologist ᛫ a hematologist ᛫,N
bloodletter,᛫ a phlebotomist ᛫,N
bloodline,᛫ a line of descent ᛫ a pedigree ᛫,N
bloodsax,᛫ a fleam ( a tool used for bloodletting and such ) ᛫,N
bloodsucker,᛫ a vampire ᛫,N
bloodtale,᛫ a tale involving bloodshed and violence ( specifically a cheaply published story of a sensational kind ) ᛫,N
bloodwite,᛫ a penalty for committing bloodshed ᛫,N
bloom,᛫ a lump of metal ᛫ metal [ᚹ] ᛫,N
bloom,᛫ a flower ᛭ to produce flowers ᛫ to flourish ᛫,N᛭V
bloomcole,᛫ cauliflower ᛫,N
bloomer,᛫ a serious or stupid mistake ᛫ a blunder ᛫,N
blooming,᛫ ( used to express annoyance or for emphasis ) ᛫,AJ
bloop,᛫ a low-pitched beeping sound ᛭ to make a bloop sound ᛫,N᛭V
blooper,᛫ an embarrassing public blunder ᛫,N
bloot,᛫ sacrifice ᛭ to sacrifice ᛫,N᛭V
Blootmonth,᛫ November ᛫,N(P)
blossom,᛫ a flower ᛭ to flower ᛫,N᛭V
blossom moon,᛫ a full moon in April ᛫,N
blossomdeer,᛫ an Anthozoa animal ( a coral ; a sea anemone ) ᛫,N
blossomy,᛫ flowery ᛫,AJ
blotter,᛫ something used to absorb excess ink or other liquid ( esp a sheet of blotting paper with a firm backing )᛫ a piece of blotting paper ᛫,N
blotter,᛫ a book in which transactions or events are recorded as they occur ᛫ a piece of material for protecting abrittle object ( from shock ; friction ; etc ) ᛫,N
blow,᛫ a strike ᛫ a damaging occurrence ᛫,N
blow,᛫ cocaine ᛭ to make air current ᛫ to fellate ᛫,N᛭V
blow,᛫ the state or period of flowering ᛭ to produce flowers ᛫,N᛭V
blow up,᛫ to explode ᛫ to make explode ᛫,V
blower,᛫ a telephone ᛫ a phone ᛫,N
blowth,᛫ floruit ᛫ florescence ᛫,N
blushworthy,᛫ embarrassing ᛫,AJ
bo,᛫ both ᛫,N(PRO)
board,᛫ a plank ᛫ a sign board ᛫ a plate ᛫ a table ᛫ a desk ᛫ a group of officials ᛫ a bureau ᛫ a department ᛫,N
boatswain,᛫ a Petty Officer charged with hull maintenance on a ship ᛫,N
boatswainbird,᛫ a Stercorariidae bird ( a jaeger ) ᛫ a Phaethontidae bird ( a tropicbird ) ᛫,N
boatward,᛫ a ship's commander ᛫,N
bobcat,᛫ a Lynx rufus animal ᛫ a Lynx animal [ᚹ] ᛫,N
bode,᛫ a commandment ᛫ an edict ᛫ a command ᛫ a prescription ᛫ a request ᛫ a message ᛫ a report ᛫,N
bode,᛫ to declare ᛫ to announce ᛫ to proclaim ᛫ to portend ᛫ to preach ᛫,V
bode,᛫ a messenger ᛫ ambassador ᛫ herald ᛫ apostle ᛫ angel ᛫ foreboder ᛫,N
